timestamp,yes_price,no_price
1767778619395773,16.0,80.0
1767778619626475,16.0,82.0
1767778620196685,17.0,82.0
1767778620248831,16.0,82.0
1767778620308297,17.0,82.0
1767778625660495,17.0,80.0
1767778626699893,18.0,80.0
1767778626871420,18.0,78.0
1767778626871420,18.0,79.0
1767778627246038,19.0,79.0
1767778628419329,19.0,77.0
1767778628419329,19.0,78.0
1767778629345760,18.0,78.0
1767778629601449,18.0,79.0
1767778630495489,17.0,79.0
1767778630496441,17.0,80.0
1767778632282359,16.0,80.0
1767778633308324,16.0,81.0
1767778633323559,16.0,79.0
1767778633340947,16.0,82.0
1767778633383911,16.0,79.0
1767778633384175,16.0,83.0
1767778633430927,16.0,79.0
1767778633507563,12.0,79.0
1767778633866812,12.0,80.0
1767778633899739,12.0,84.0
1767778633957378,13.0,84.0
1767778633993403,12.0,84.0
1767778633993403,14.0,84.0
1767778636179226,13.0,84.0
1767778636993738,12.0,84.0
1767778637376193,12.0,85.0
1767778640655168,12.0,86.0
1767778652144283,11.0,86.0
1767778653463622,11.0,87.0
1767778655033364,12.0,87.0
1767778657588004,11.0,87.0
1767778658283750,10.0,87.0
1767778660067287,11.0,87.0
1767778660085002,9.0,87.0
1767778660323019,12.0,87.0
1767778665842325,12.0,85.0
1767778676528606,11.0,85.0
1767778677390386,11.0,86.0
1767778678590030,11.0,85.0
1767778680641752,11.0,86.0
1767778681215122,10.0,86.0
1767778681222739,10.0,87.0
1767778682539954,10.0,88.0
1767778686833509,9.0,88.0
1767778689888962,8.0,88.0
1767778691878033,8.0,89.0
1767778693187222,7.0,89.0
1767778693352133,7.0,90.0
1767778693469889,7.0,91.0
1767778695150755,7.0,90.0
1767778696999010,7.0,91.0
1767778700945351,6.0,91.0
1767778712147613,6.0,92.0
1767778718044861,6.0,90.0
1767778718046155,6.0,91.0
1767778738371425,5.0,91.0
1767778739525789,5.0,92.0
1767778743214972,5.0,93.0
1767778744643371,5.0,92.0
1767778754064055,5.0,91.0
1767778754064055,5.0,86.0
1767778754064055,9.0,86.0
1767778754540254,9.0,87.0
1767778754554184,6.0,87.0
1767778754554184,6.0,92.0
1767778754931354,5.0,92.0
1767778755271814,6.0,92.0
1767778755518685,5.0,92.0
1767778755723287,6.0,92.0
1767778756109690,5.0,92.0
1767778765120332,5.0,93.0
1767778775095701,6.0,93.0
1767778777902142,6.0,92.0
1767778778538485,5.0,92.0
1767778780817855,5.0,93.0
1767778784009019,2.0,93.0
1767778784240413,1.0,93.0
1767778784257452,4.0,93.0
1767778789806850,4.0,94.0
1767778799943631,4.0,92.0
1767778800351931,4.0,93.0
1767778801803917,4.0,92.0
1767778802964972,4.0,94.0
1767778803610786,3.0,94.0
1767778807902844,3.0,95.0
1767778818645137,3.0,96.0
1767778820152470,2.0,96.0
1767778828841118,2.0,97.0
1767778836732943,1.0,97.0
1767778846889827,1.0,98.0
1767778900184704,,98.0
1767778914723335,,99.0
1767778917625099,,98.0
1767778943922232,,99.0
1767779135106757,,
