timestamp_us,yes_volume,yes_slippage,yes_bid,yes_ask,yes_spread,no_volume,no_slippage,no_bid,no_ask,no_spread,bid_sum_discrepancy,ask_sum_discrepancy
1767724336046813,173.65,12.1400,0.3200,0.3500,0.0300,128.36,8.5000,0.6500,0.6800,0.0300,0.030000,-0.030000
1767724336047046,173.65,12.1400,0.3400,0.3500,0.0100,128.36,8.5000,0.6500,0.6600,0.0100,0.010000,-0.010000
1767724338877823,197.80,12.8300,0.3300,0.3500,0.0200,128.36,8.5000,0.6500,0.6700,0.0200,0.020000,-0.020000
1767724339113201,223.35,14.2900,0.3400,0.3500,0.0100,128.36,8.5000,0.6500,0.6600,0.0100,0.010000,-0.010000
1767724339697401,223.35,14.2900,0.3300,0.3500,0.0200,128.36,8.5000,0.6500,0.6700,0.0200,0.020000,-0.020000
1767724339797580,223.35,14.2900,0.3300,0.3600,0.0300,128.36,8.5000,0.6400,0.6700,0.0300,0.030000,-0.030000
1767724339797853,223.35,14.2900,0.3300,0.3900,0.0600,128.36,8.5000,0.6100,0.6700,0.0600,0.060000,-0.060000
1767724339805623,223.35,14.2900,0.3300,0.3800,0.0500,128.36,8.5000,0.6200,0.6700,0.0500,0.050000,-0.050000
1767724339819468,223.35,14.2900,0.3400,0.3800,0.0400,128.36,8.5000,0.6200,0.6600,0.0400,0.040000,-0.040000
1767724339872506,223.35,14.2900,0.3500,0.3800,0.0300,128.36,8.5000,0.6200,0.6500,0.0300,0.030000,-0.030000
1767724339936718,223.35,14.2900,0.3500,0.3700,0.0200,128.36,8.5000,0.6300,0.6500,0.0200,0.020000,-0.020000
1767724339988196,223.35,14.2900,0.3500,0.3800,0.0300,128.36,8.5000,0.6200,0.6500,0.0300,0.030000,-0.030000
1767724340035304,228.90,14.5900,0.3500,0.3700,0.0200,128.36,8.5000,0.6300,0.6500,0.0200,0.020000,-0.020000
1767724340056667,228.90,14.5900,0.3400,0.3700,0.0300,128.36,8.5000,0.6300,0.6600,0.0300,0.030000,-0.030000
1767724340056667,228.90,14.5900,0.3600,0.3700,0.0100,128.36,8.5000,0.6300,0.6400,0.0100,0.010000,-0.010000
1767724340086755,228.90,14.5900,0.3600,0.3800,0.0200,128.36,8.5000,0.6200,0.6400,0.0200,0.020000,-0.020000
1767724340219127,228.90,14.5900,0.3600,0.3700,0.0100,128.36,8.5000,0.6300,0.6400,0.0100,0.010000,-0.010000
1767724343057480,262.67,15.6000,0.3300,0.3700,0.0400,146.18,9.3100,0.6300,0.6700,0.0400,0.040000,-0.040000
1767724343057480,262.67,15.6000,0.3400,0.3700,0.0300,146.18,9.3100,0.6300,0.6600,0.0300,0.030000,-0.030000
1767724343098986,262.67,15.6000,0.3400,0.3600,0.0200,146.18,9.3100,0.6400,0.6600,0.0200,0.020000,-0.020000
1767724343249627,262.67,15.6000,0.3400,0.3500,0.0100,146.18,9.3100,0.6500,0.6600,0.0100,0.010000,-0.010000
1767724343344587,262.67,15.6000,0.3300,0.3500,0.0200,146.18,9.3100,0.6500,0.6700,0.0200,0.020000,-0.020000
1767724343344867,262.67,15.6000,0.3300,0.3600,0.0300,146.18,9.3100,0.6400,0.6700,0.0300,0.030000,-0.030000
1767724343348516,262.67,15.6000,0.3300,0.3900,0.0600,146.18,9.3100,0.6100,0.6700,0.0600,0.060000,-0.060000
1767724343371513,262.67,15.6000,0.3300,0.3800,0.0500,146.18,9.3100,0.6200,0.6700,0.0500,0.050000,-0.050000
1767724343395623,262.67,15.6000,0.3300,0.3500,0.0200,146.18,9.3100,0.6500,0.6700,0.0200,0.020000,-0.020000
1767724343498299,262.67,15.6000,0.3300,0.3800,0.0500,146.18,9.3100,0.6200,0.6700,0.0500,0.050000,-0.050000
1767724343957673,262.67,15.6000,0.3300,0.3700,0.0400,146.18,9.3100,0.6300,0.6700,0.0400,0.040000,-0.040000
1767724344015447,262.67,15.6000,0.3300,0.3800,0.0500,146.18,9.3100,0.6200,0.6700,0.0500,0.050000,-0.050000
1767724344015447,262.67,15.6000,0.3300,0.3600,0.0300,146.18,9.3100,0.6400,0.6700,0.0300,0.030000,-0.030000
1767724344057947,262.67,15.6000,0.3300,0.3500,0.0200,146.18,9.3100,0.6500,0.6700,0.0200,0.020000,-0.020000
1767724344411642,262.67,15.6000,0.3300,0.3400,0.0100,146.18,9.3100,0.6600,0.6700,0.0100,0.010000,-0.010000
1767724344508377,262.67,15.6000,0.3200,0.3400,0.0200,146.18,9.3100,0.6600,0.6800,0.0200,0.020000,-0.020000
1767724344621464,262.67,15.6000,0.3200,0.3300,0.0100,146.18,9.3100,0.6700,0.6800,0.0100,0.010000,-0.010000
1767724345364036,262.67,15.6000,0.3100,0.3300,0.0200,149.58,9.3600,0.6700,0.6900,0.0200,0.020000,-0.020000
1767724345364036,262.67,15.6000,0.3100,0.3200,0.0100,149.58,9.3600,0.6800,0.6900,0.0100,0.010000,-0.010000
1767724346895269,262.67,15.6000,0.3000,0.3200,0.0200,149.58,9.3600,0.6800,0.7000,0.0200,0.020000,-0.020000
1767724351349768,262.67,15.6000,0.3000,0.3100,0.0100,157.28,9.5800,0.6900,0.7000,0.0100,0.010000,-0.010000
1767724351505231,262.67,15.6000,0.2700,0.3100,0.0400,157.28,9.5800,0.6900,0.7300,0.0400,0.040000,-0.040000
1767724351505231,262.67,15.6000,0.2700,0.3000,0.0300,157.28,9.5800,0.7000,0.7300,0.0300,0.030000,-0.030000
1767724352004480,262.67,15.6000,0.2600,0.3000,0.0400,157.28,9.5800,0.7000,0.7400,0.0400,0.040000,-0.040000
1767724352772088,262.67,15.6000,0.2700,0.3000,0.0300,157.28,9.5800,0.7000,0.7300,0.0300,0.030000,-0.030000
1767724354898336,262.67,15.6000,0.2700,0.2900,0.0200,161.66,9.7600,0.7100,0.7300,0.0200,0.020000,-0.020000
1767724355058240,262.67,15.6000,0.2700,0.2800,0.0100,170.42,10.0000,0.7200,0.7300,0.0100,0.010000,-0.010000
1767724355217180,262.67,15.6000,0.2400,0.2800,0.0400,170.42,10.0000,0.7200,0.7600,0.0400,0.040000,-0.040000
